styrk98_7digit,styrk08_4digit
1231133,1211
1231134,1211
1231135,1211
1231136,1211
1232101,1345
1232102,1212
1232103,1212
1232104,1212
1232105,1212
1232106,1219
1232107,1219
1232108,1219
1232109,1212
1232110,1219
1232111,1212
1232112,1212
1232113,1212
1232114,1211
1232115,1212
1232116,1212
1232117,1212
1233101,1221
1233102,1221
1233103,1221
1233104,1221
1233105,1221
1233106,1324
1233107,1221
1233108,1221
1234101,1222
1234102,1222
1234103,1221
1234104,1221
1234105,1222
1234106,1221
1234107,1222
1234108,1222
1234109,1221
1234110,1222
1234111,1222
1234112,1221
1234113,1221
1234114,1222
1234115,1222
1235101,1221
1235102,1324
1235103,1324
1235104,1324
1235105,1324
1235106,1324
1235107,1324
1235108,1324
1235109,1324
1235110,1221
1235111,1324
1235112,1324
1236101,1330
1236102,1330
1236103,1330
1236104,1330
1236105,1330
1236106,1330
1236107,1330
1236108,1330
1236109,1330
1236110,1330
1236111,1330
1236112,1330
1236113,1330
1236114,1330
1236115,1330
1236116,1330
1237101,1223
1237102,1223
1237103,1223
1237104,1223
1237105,1223
1237107,1223
1237108,1223
1237110,1223
1239101,1219
1239102,3341
1239104,1213
1239105,2611
1239106,1219
1239107,1321
1239108,1349
1239109,1349
1239111,1431
1239112,1219
1239113,1223
1239114,1349
1239115,1349
1239116,1213
1239117,1349
1239118,1349
1239119,1219
1239120,1219
1239121,1219
1239122,1349
1239123,1349
1310101,1120
1310102,1120
1310103,1120
1310104,1219
1311101,1311
1311102,1311
1311103,1311
1311104,1311
1311105,1312
1311106,1311
1311107,1312
1311108,1120
1311109,1219
1311110,1311
1312101,1321
1312102,1349
1312103,1349
1312104,1321
1312105,1321
1312106,1321
1312107,1322
1312108,1321
1312109,1321
1312110,1321
1312111,1321
1312112,1219
1312113,1349
1312114,1349
1312115,1321
1312116,1321
1313101,1323
1313102,1323
1313103,1323
1313104,1323
1313106,1323
1314101,1420
1314102,1420
1314103,1420
1314104,1420
1314105,1420
1314106,1420
1314107,1120
1314108,1420
1314109,1420
1314110,1420
1314111,1420
1315101,1412
1315102,1439
1315103,3434
1315104,1411
1315105,1411
1315106,1411
1315107,1412
1315108,5151
1315109,1439
1315110,1219
1315111,1219
1315112,1412
1315113,1411
1316101,1324
1316102,1324
1316103,1324
1316104,1324
1316105,1219
1317101,1346
